productId,productMercantId,merchantId,provinceCnName,mainProductId,isYiHaoDian,cutoffTimeKey,isRuleType,mcSiteKey,categoryId,experoienceProductId,productType,isShengxianProd,newBrandLogoUrl,currProductClass,topCategoryId,yingyangTabSwith,brandID,backCategoryId,storeId,pointSiteKey,lastCategory,onlineCustomUserId,yhdFreshFoodKeyId,isSecondHandProduct,isFbyProd,urlProductId,companyName,detailOldForNewService,brandName,oneKeyGoDomain,threeAreas,hasStockNum,isCanSale,combinePositionKey,product_amount
11569305,12958185,1,上海,11569305,1,1,-1,3,5073,11569305,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,11569305,1号店,0,黑人,,0,298,1,0,1
2391673,2585289,1,上海,2391673,1,1,-1,3,5073,2391673,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,2391673,1号店,0,中华,,0,90,1,0,1
42869,106398,1,上海,42869,1,1,-1,3,5073,42869,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,42869,1号店,0,Colgate/高露洁,,0,485,1,0,1
14474591,16448676,1,上海,14474591,1,1,-1,3,5073,14474591,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,14474591,1号店,0,Colgate/高露洁,,0,137,1,0,1
42865,106394,1,上海,42865,1,1,0,3,5073,42865,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,42865,1号店,0,Colgate/高露洁,,0,171,1,0,1
2582684,9022263,1,上海,2582684,1,1,-1,3,5073,2582684,0,0,http://d6.yihaodianimg.com/N03/M01/24/00/CgQCtFK36byAU7lSAAB8AmN74V4744.jpg,5009,5009,1,937692,5073,1,0,牙膏,0,1,0,0,2582684,1号店,0,Saky/舒客,,0,207,1,0,1
1440703,1633234,1,上海,1440703,1,1,-1,3,5073,1440703,0,0,http://d6.yihaodianimg.com/N02/M08/0B/04/CgQCslKUU6qAUz1fAAAknr0DBdg859.jpg,5009,5009,1,6071,5073,1,0,牙膏,0,1,0,0,1440703,1号店,0,云南白药,,0,74,1,0,1
2582683,9022262,1,上海,2582683,1,1,-1,3,5073,2582683,0,0,http://d6.yihaodianimg.com/N03/M01/24/00/CgQCtFK36byAU7lSAAB8AmN74V4744.jpg,5009,5009,1,937692,5073,1,0,牙膏,0,1,0,0,2582683,1号店,0,Saky/舒客,,0,139,1,0,1
10536,74502,1,上海,10536,1,1,-1,3,5073,10536,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,10536,1号店,0,Colgate/高露洁,,0,632,1,0,1
12057770,13468340,1,上海,12057770,1,1,6,3,5073,12057770,3,0,http://d6.yihaodianimg.com/N01/M02/28/6D/CgQCr1K37eyAAq1jAABki8RJTWQ603.jpg,5009,5009,1,8632,5073,1,0,牙膏,0,1,0,0,12057770,1号店,0,皓乐齿,,0,85,1,0,1
