jd_id,title,info,img_url
650886,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650886;品牌：萃华金店;上架时间：2012-05-25 14:18:11;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img11.360buyimg.com/n1/g5/M01/02/1A/rBEIC0_VqJoIAAAAAAFHTPzXjFAAAAjfgNNZTkAAUdk749.jpg
650887,闪辉12A1265,商品名称：闪辉12A1265;商品编号：650887;品牌：闪辉（Benefly）;上架时间：2012-11-12 10:20:31;商品毛重：440.00g;商品产地：中国大陆;配件类型：非原装笔记本配件;类别：电源适配器;适用机型：：笔记本,http://img12.360buyimg.com/n1/g5/M00/00/1A/rBEIDE-_R2UIAAAAAAGFC1MyQckAAAKXQKMccMAAYUj017.jpg
650888,萃华金店女戒,商品名称：萃华金店女戒;商品编号：650888;品牌：萃华金店;上架时间：2012-05-25 14:18:17;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：女;圈号：活口,http://img13.360buyimg.com/n1/g5/M00/03/03/rBEIDE_YEU0IAAAAAAFaYqffmAIAAAmswG7NtcAAVp6265.jpg
650889,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650889;品牌：萃华金店;上架时间：2012-05-25 14:18:18;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img14.360buyimg.com/n1/g5/M02/0E/03/rBEIC0_qyQwIAAAAAAFIrsBctnIAACwWwPHQDMAAUjG418.jpg
650890,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650890;品牌：萃华金店;上架时间：2012-05-25 14:18:21;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img10.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEVAIAAAAAAFGS9dWvMAAAAmswHPb_oAAUZj465.jpg
650891,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650891;品牌：萃华金店;上架时间：2012-05-25 14:18:24;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img11.360buyimg.com/n1/g5/M01/02/1A/rBEIDE_VqJ4IAAAAAAFHTPzXjFAAAAjfgOKodMAAUdk789.jpg
650892,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650892;品牌：萃华金店;上架时间：2012-05-25 14:18:25;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：女，男,http://img12.360buyimg.com/n1/g5/M02/0A/00/rBEIC0_i5r4IAAAAAACGwphHqmIAAB9XgGmxSkAAIba270.jpg
650893,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650893;品牌：萃华金店;上架时间：2012-05-25 14:18:29;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img13.360buyimg.com/n1/g5/M02/02/1A/rBEIDE_VqKIIAAAAAAC3zWurORMAAAjfwAFo38AALfl434.jpg
650894,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650894;品牌：萃华金店;上架时间：2012-05-25 14:18:37;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img14.360buyimg.com/n1/g5/M02/0E/03/rBEIDE_qyQ4IAAAAAAFbc-wgJ7kAACwWwPzqnMAAVuL637.jpg
650895,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650895;品牌：萃华金店;上架时间：2012-05-25 14:18:38;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img10.360buyimg.com/n1/g5/M02/02/1A/rBEIDE_VqKYIAAAAAAFHTPzXjFAAAAjfwA3FMwAAUdk542.jpg
